from_asset,to_asset,connection,dependency_score
77e10418-2b0f-45f2-afa7-2d5e089a96a5,05e9703f-4b7c-42a9-ac57-c215d078c69d,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->05e9703f-4b7c-42a9-ac57-c215d078c69d,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,0e713578-1a01-4516-8425-543c249d2274,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->0e713578-1a01-4516-8425-543c249d2274,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,11083ac6-783f-42f9-a619-89e0994f66ad,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->11083ac6-783f-42f9-a619-89e0994f66ad,3
7e36b821-5094-4421-8784-4c97a03e8a06,12fd69ce-6490-4f7f-87ce-e8d28942df9d,7e36b821-5094-4421-8784-4c97a03e8a06-->12fd69ce-6490-4f7f-87ce-e8d28942df9d,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,18309a14-5c09-430a-8df5-37eab7c9b632,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->18309a14-5c09-430a-8df5-37eab7c9b632,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,2a8e695d-c2c9-46f7-9eeb-b7c5d37b0d8d,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->2a8e695d-c2c9-46f7-9eeb-b7c5d37b0d8d,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,4aba8b73-a30e-4a2d-86ab-de3accc984d9,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->4aba8b73-a30e-4a2d-86ab-de3accc984d9,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,5814565e-1f82-4d1a-9e3d-c2d178dd76e9,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->5814565e-1f82-4d1a-9e3d-c2d178dd76e9,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,674498e9-a0e7-45e7-b9aa-388471e20ae0,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->674498e9-a0e7-45e7-b9aa-388471e20ae0,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,6ad4480a-af25-48be-ac79-235d60d915d3,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->6ad4480a-af25-48be-ac79-235d60d915d3,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,7217ddb0-9fd1-411e-bc56-86f50122d93b,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->7217ddb0-9fd1-411e-bc56-86f50122d93b,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,a95b9b24-98ef-44a8-9ee4-9324637febf9,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->a95b9b24-98ef-44a8-9ee4-9324637febf9,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,ab18a9e2-2677-43df-ac4e-5ab5a8cb07df,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->ab18a9e2-2677-43df-ac4e-5ab5a8cb07df,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,bc0237c5-a3f6-4a92-be70-ea99ee632016,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->bc0237c5-a3f6-4a92-be70-ea99ee632016,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,d3a30a5d-f57d-44bf-9439-d2f1768d1893,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->d3a30a5d-f57d-44bf-9439-d2f1768d1893,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,e03cc31e-0e61-416d-9631-1676b0480d9a,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->e03cc31e-0e61-416d-9631-1676b0480d9a,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,e7b31025-41c0-4aa7-a540-ec613a19af0a,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->e7b31025-41c0-4aa7-a540-ec613a19af0a,3
