from_asset,to_asset,connection,dependency_score
PGS06,TRF02,PGS06-->TRF02,3.00
PGS03,TRF01,PGS03-->TRF01,3.00
TRF02,PH04,TRF02-->PH04,2.60
TRF02,JN27,TRF02-->JN27,2.60
JN27,JN01,JN27-->JN01,3.00
TRF01,JN05,TRF01-->JN05,2.25
JN05,JN11,JN05-->JN11,3.00
TRF02,JN08,TRF02-->JN08,2.60
TRF02,HS01,TRF02-->HS01,2.60
TRF01,HS01,TRF01-->HS01,2.25
TRF03,JN22,TRF03-->JN22,2.60
PGS01,TRF03,PGS01-->TRF03,3.00
TRF03,JN33,TRF03-->JN33,2.60
JN33,JN17,JN33-->JN17,3.00
TRF03,PH01,TRF03-->PH01,2.60
TRF04,FS06,TRF04-->FS06,2.25
TRF04,TRR08,TRF04-->TRR08,2.25
TRF04,PP02,TRF04-->PP02,2.25
TRF04,JN19,TRF04-->JN19,2.25
TRF04,JN23,TRF04-->JN23,2.25
JN19,JN34,JN19-->JN34,3.00
TEL07,TRF04,TEL07-->TRF04,3.00
JN11,JN15,JN11-->JN15,3.00
JN08,JN32,JN08-->JN32,3.00
JN08,JN26,JN08-->JN26,3.00
JN08,JN06,JN08-->JN06,3.00
JN11,JN13,JN11-->JN13,3.00
JN13,JN24,JN13-->JN24,3.00
JN06,JN07,JN06-->JN07,3.00
TRF03,NH03,TRF03-->NH03,2.60
JN33,TRR05,JN33-->TRR05,3.00
TRR05,TRR10,TRR05-->TRR10,3.00
TRR10,TRR09,TRR10-->TRR09,3.00
TRR09,TRR06,TRR09-->TRR06,3.00
TRR06,TRR07,TRR06-->TRR07,3.00
JN15,JN18,JN15-->JN18,3.00
JN24,JN12,JN24-->JN12,3.00
TRF03,VH01,TRF03-->VH01,2.60
JN17,JN03,JN17-->JN03,3.00
JN26,JN30,JN26-->JN30,3.00
TRF01,PH06,TRF01-->PH06,2.25
TRF01,BSC09,TRF01-->BSC09,2.25
TRF02,PH02,TRF02-->PH02,2.60
TRF04,BSC06,TRF04-->BSC06,2.25
TRF04,TRR04,TRF04-->TRR04,2.25
TRF04,BSC10,TRF04-->BSC10,2.25
JN23,FS05,JN23-->FS05,2.00
