Asset_ID,Asset_Type,Asset_Name,lat,long,criticality_score,backup_asset_id
BSC01,Business/Commercial,IndustrialSpace,50.7013368,-1.298018608,1,WS02
BSC02,Business/Commercial,IndustrialSpace,50.662767,-1.15015395,1,SW02
BSC03,Business/Commercial,IndustrialSpace,50.75794403,-1.290131662,1,SW03
BSC04,Business/Commercial,IndustrialSpace,50.63708906,-1.17914422,1,
BSC05,Business/Commercial,IndustrialSpace,50.59161769,-1.255649071,1,
BSC06,Business/Commercial,RetailKiosk,50.71844117,-1.158218989,1,PGS02
BSC07,Business/Commercial,RetailKiosk,50.68993195,-1.08859195,1,PGS03
BSC08,Business/Commercial,RetailKiosk,50.69945367,-1.295762443,1,
BSC09,Business/Commercial,RetailKiosk,50.75801661,-1.287798307,1,
BSC10,Business/Commercial,RetailKiosk,50.72653483,-1.132907017,1,WS03
FS01,FuelStation,MotorVehicleFuellingOrChargingStation,50.6341067,-1.2311143,2,WS04
FS02,FuelStation,MotorVehicleFuellingOrChargingStation,50.69254229,-1.286216562,2,
FS03,FuelStation,MotorVehicleFuellingOrChargingStation,50.66224027,-1.151983196,2,
FS04,FuelStation,MotorVehicleFuellingOrChargingStation,50.75083885,-1.553143361,2,
FS05,FuelStation,MotorVehicleFuellingOrChargingStation,50.70961945,-1.144603284,2,TEL02
FS06,FuelStation,MotorVehicleFuellingOrChargingStation,50.72944635,-1.153399375,2,TEL03
FS07,FuelStation,MotorVehicleFuellingOrChargingStation,50.64663781,-1.182754882,2,TEL04
GS01,GasSupply,GasDistributionComplex,50.753241,-1.3347356,2,
HS01,Hospital,Hospital,50.711101,-1.3008871,3,
NH01,NursingHome,NursingHome,50.710648,-1.2811222,3,
NH02,NursingHome,NursingHome,50.632156,-1.1825228,3,
NH03,NursingHome,NursingHome,50.725258,-1.2339334,3,
NH04,NursingHome,NursingHome,50.626927,-1.1832073,3,
PH01,Pharmacy,PharmaceuticalDispensary,50.724898,-1.2298024,2,
PH02,Pharmacy,PharmaceuticalDispensary,50.761523,-1.2978536,2,
PH03,Pharmacy,PharmaceuticalDispensary,50.68347,-1.5270671,2,PGS07
PH04,Pharmacy,PharmaceuticalDispensary,50.750944,-1.301754,2,
PH05,Pharmacy,PharmaceuticalDispensary,50.706162,-1.4999744,2,
PH06,Pharmacy,PharmaceuticalDispensary,50.757807,-1.2885096,2,TRF02
PH07,Pharmacy,PharmaceuticalDispensary,50.682316,-1.524177,2,TRF01
PGS01,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.719325,-1.2020439,3,TRF04
PGS02,PowerGen/Substation,HighVoltageElectricitySubstationComplex,50.710424,-1.2539468,3,TRF03
PGS03,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.74572,-1.2854328,3,TRR02
PGS04,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.662086,-1.1537488,3,TRR03
PGS05,PowerGen/Substation,BiomassPowerGenerationComplex,50.675059,-1.2532336,3,TRR04
PGS06,PowerGen/Substation,OilFiredPowerGenerationComplex,50.746912,-1.2862509,3,
