from_asset,to_asset,connection,dependency_score
PGS07,BSC04,PGS07-->BSC04,3
PGS07,TRR03,PGS07-->TRR03,3
PGS07,NH02,PGS07-->NH02,3
PGS07,TEL03,PGS07-->TEL03,3
PGS07,VH05,PGS07-->VH05,3
PGS07,NH04,PGS07-->NH04,3
PGS07,FS07,PGS07-->FS07,3
PGS04,FS03,PGS04-->FS03,3
PGS04,BSC02,PGS04-->BSC02,3
PGS04,SCH02,PGS04-->SCH02,3
PGS04,TRA01,PGS04-->TRA01,3
PGS04,SW03,PGS04-->SW03,3
PGS04,WS01,PGS04-->WS01,3
PGS04,TRR02,PGS04-->TRR02,3
PGS04,TRA02,PGS04-->TRA02,3
PGS04,TEL05,PGS04-->TEL05,3
PGS04,BSC07,PGS04-->BSC07,3
PGS01,VH01,PGS01-->VH01,3
PGS01,SCH04,PGS01-->SCH04,3
PGS01,BSC06,PGS01-->BSC06,3
PGS01,TRR04,PGS01-->TRR04,3
PGS01,TEL07,PGS01-->TEL07,3
PGS01,TRR05,PGS01-->TRR05,3
PGS01,TRR10,PGS01-->TRR10,3
PGS01,TRR09,PGS01-->TRR09,3
PGS01,TRF03,PGS01-->TRF03,3
PGS01,PH01,PGS01-->PH01,3
PGS02,HS01,PGS02-->HS01,3
HS01,NH01,HS01-->NH01,3
PGS02,BSC01,PGS02-->BSC01,3
PGS02,TEL01,PGS02-->TEL01,3
PGS08,PH07,PGS08-->PH07,3
PGS08,PH03,PGS08-->PH03,3
PGS08,SCH06,PGS08-->SCH06,3
PGS08,SW02,PGS08-->SW02,3
PGS08,PH05,PGS08-->PH05,3
PGS08,VH04,PGS08-->VH04,3
PGS05,TEL08,PGS05-->TEL08,3
PGS05,WS01,PGS05-->WS01,3
PGS05,TEL06,PGS05-->TEL06,3
PGS05,FS01,PGS05-->FS01,3
PGS05,TEL10,PGS05-->TEL10,3
PGS02,SCH01,PGS02-->SCH01,3
TEL08,SCH03,TEL08-->SCH03,3
TEL08,SCH09,TEL08-->SCH09,3
TEL08,SCH07,TEL08-->SCH07,3
TEL08,HS01,TEL08-->HS01,3
PGS02,FS02,PGS02-->FS02,3
PGS02,SCH05,PGS02-->SCH05,3
PGS02,VH02,PGS02-->VH02,3
PGS03,VH03,PGS03-->VH03,2
PGS03,SW01,PGS03-->SW01,2
PGS06,TRF02,PGS06-->TRF02,3
PGS06,PH02,PGS06-->PH02,3
PGS06,SW04,PGS06-->SW04,3
PGS06,TRF01,PGS06-->TRF01,3
PGS06,BSC03,PGS06-->BSC03,3
PGS06,PH06,PGS06-->PH06,3
PGS06,BSC09,PGS06-->BSC09,3
PGS06,PH04,PGS06-->PH04,3
PGS06,GS01,PGS06-->GS01,3
PGS02,NH03,PGS02-->NH03,3
HS01,NH03,HS01-->NH03,3
PGS01,TRR08,PGS01-->TRR08,3
PGS01,TRF04,PGS01-->TRF04,3
PGS01,FS06,PGS01-->FS06,3
PGS01,BSC10,PGS01-->BSC10,3
PGS05,TEL11,PGS05-->TEL11,3
PGS07,WS01,PGS07-->WS01,3
PGS05,TEL09,PGS05-->TEL09,3
PGS05,TEL04,PGS05-->TEL04,3
HS01,NH04,HS01-->NH04,3
HS01,NH02,HS01-->NH02,3
TEL09,NH04,TEL09-->NH04,2
TEL09,NH02,TEL09-->NH02,2
PGS01,FS05,PGS01-->FS05,3
PGS05,BSC05,PGS05-->BSC05,3
TEL11,BSC05,TEL11-->BSC05,1
