from_asset,to_asset,connection,dependency_score
PGS06,TRF02,PGS06-->TRF02,3
PGS03,TRF01,PGS03-->TRF01,3
TRF02,PH04,TRF02-->PH04,3
TRF02,JN27,TRF02-->JN27,3
JN27,JN01,JN27-->JN01,3
TRF01,JN05,TRF01-->JN05,2
JN05,JN11,JN05-->JN11,3
TRF02,JN08,TRF02-->JN08,3
TRF02,HS01,TRF02-->HS01,3
TRF01,HS01,TRF01-->HS01,2
TRF03,JN22,TRF03-->JN22,3
PGS01,TRF03,PGS01-->TRF03,3
TRF03,JN33,TRF03-->JN33,3
JN33,JN17,JN33-->JN17,3
TRF03,PH01,TRF03-->PH01,3
TRF04,FS06,TRF04-->FS06,2
TRF04,TRR08,TRF04-->TRR08,2
TRF04,PP02,TRF04-->PP02,2
TRF04,JN19,TRF04-->JN19,2
TRF04,JN23,TRF04-->JN23,2
JN19,JN34,JN19-->JN34,3
TEL07,TRF04,TEL07-->TRF04,3
JN11,JN15,JN11-->JN15,3
JN08,JN32,JN08-->JN32,3
JN08,JN26,JN08-->JN26,3
JN08,JN06,JN08-->JN06,3
JN11,JN13,JN11-->JN13,3
JN13,JN24,JN13-->JN24,3
JN06,JN07,JN06-->JN07,3
TRF03,NH03,TRF03-->NH03,3
JN33,TRR05,JN33-->TRR05,3
TRR05,TRR10,TRR05-->TRR10,3
TRR10,TRR09,TRR10-->TRR09,3
TRR09,TRR06,TRR09-->TRR06,3
TRR06,TRR07,TRR06-->TRR07,3
JN15,JN18,JN15-->JN18,3
JN24,JN12,JN24-->JN12,3
TRF03,VH01,TRF03-->VH01,3
JN17,JN03,JN17-->JN03,3
JN26,JN30,JN26-->JN30,3
TRF01,PH06,TRF01-->PH06,2
TRF01,BSC09,TRF01-->BSC09,2
TRF02,PH02,TRF02-->PH02,3
TRF04,BSC06,TRF04-->BSC06,2
TRF04,TRR04,TRF04-->TRR04,2
TRF04,BSC10,TRF04-->BSC10,2
JN23,FS05,JN23-->FS05,2
