Asset_ID,Asset_Type,Asset_Name,lat,long,criticality_score,backup_asset_id,status,dependency_score,exposure_score,redundancy_score,asset_score
BSC01,Business/Commercial,IndustrialSpace,50.7013368,-1.29801860833333,1,BSC02,working,0,2,2,5
BSC02,Business/Commercial,IndustrialSpace,50.662767,-1.15015395,1,BSC03,working,0,2,2,5
BSC03,Business/Commercial,IndustrialSpace,50.7579440333333,-1.29013166190476,1,,working,0,0,3,4
BSC04,Business/Commercial,IndustrialSpace,50.63708906,-1.17914422,1,,working,0,2,3,6
BSC05,Business/Commercial,IndustrialSpace,50.5916176857143,-1.25564907142857,1,,failed,0,2,3,6
BSC06,Business/Commercial,RetailKiosk,50.7184411736842,-1.15821898947368,1,,working,0,0,3,4
BSC07,Business/Commercial,RetailKiosk,50.68993195,-1.08859195,1,,working,0,1,3,5
BSC08,Business/Commercial,RetailKiosk,50.6994536714286,-1.29576244285714,1,,working,0,2,3,6
BSC09,Business/Commercial,RetailKiosk,50.7580166142857,-1.28779830714286,1,,working,0,0,3,4
BSC10,Business/Commercial,RetailKiosk,50.7265348333333,-1.13290701666667,1,,working,0,0,3,4
FS01,FuelStation,MotorVehicleFuellingOrChargingStation,50.6341067,-1.2311143,1,FS02,failed,0,2,2,5
FS02,FuelStation,MotorVehicleFuellingOrChargingStation,50.6925422923077,-1.28621656153846,1,FS03,working,0,2,2,5
FS03,FuelStation,MotorVehicleFuellingOrChargingStation,50.6622402652174,-1.15198319565217,1,FS04,working,0,2,2,5
FS04,FuelStation,MotorVehicleFuellingOrChargingStation,50.7508388481481,-1.55314336111111,1,,working,0,0,3,4
FS05,FuelStation,MotorVehicleFuellingOrChargingStation,50.709619450289,-1.14460328439306,1,,working,0,0,3,4
FS06,FuelStation,MotorVehicleFuellingOrChargingStation,50.72944635,-1.153399375,1,,working,0,0,3,4
FS07,FuelStation,MotorVehicleFuellingOrChargingStation,50.6466378113333,-1.182754882,1,,working,0,2,3,6
GS01,GasSupply,GasDistributionComplex,50.753241,-1.3347356,3,,working,0,0,3,6
HS01,Hospital,Hospital,50.711101,-1.3008871,3,,failed,2,1,3,9
NH01,NursingHome,NursingHome,50.710648,-1.2811222,2,NH02,failed,0,0,2,4
NH02,NursingHome,NursingHome,50.632156,-1.1825228,2,NH03,failed,0,2,2,6
NH03,NursingHome,NursingHome,50.725258,-1.2339334,2,NH04,failed,0,2,2,6
NH04,NursingHome,NursingHome,50.626927,-1.1832073,2,NH01,failed,0,2,2,6
PGS01,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.719325,-1.2020439,3,PGS02,working,2,1,1,7
PGS02,PowerGen/Substation,HighVoltageElectricitySubstationComplex,50.710424,-1.2539468,3,PGS03,working,2,0,1,6
PGS03,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.74572,-1.2854328,3,,working,2,0,3,8
PGS04,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.662086,-1.1537488,3,,working,2,2,3,10
PGS05,PowerGen/Substation,BiomassPowerGenerationComplex,50.675059,-1.2532336,3,,failed,3,2,3,11
PGS06,PowerGen/Substation,OilFiredPowerGenerationComplex,50.746912,-1.2862509,3,PGS07,working,2,0,2,7
PGS07,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.63418,-1.1839159,3,,working,2,2,3,10
PGS08,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.681092,-1.5152298,3,,working,2,0,3,8
PH01,Pharmacy,PharmaceuticalDispensary,50.724898,-1.2298024,1,PH02,working,0,2,2,5
PH02,Pharmacy,PharmaceuticalDispensary,50.761523,-1.2978536,1,PH03,working,0,0,2,3
PH03,Pharmacy,PharmaceuticalDispensary,50.68347,-1.5270671,1,PH04,working,0,0,2,3
PH04,Pharmacy,PharmaceuticalDispensary,50.750944,-1.301754,1,PH05,working,0,0,2,3
PH05,Pharmacy,PharmaceuticalDispensary,50.706162,-1.4999744,1,PH06,working,0,0,2,3
PH06,Pharmacy,PharmaceuticalDispensary,50.757807,-1.2885096,1,PH01,working,0,0,2,3
PH07,Pharmacy,PharmaceuticalDispensary,50.682316,-1.524177,1,,working,0,0,3,4
PP01,PublicPark,PublicPark,50.700407,-1.2872684,0,,working,0,1,3,4
PP02,PublicPark,PublicPark,50.723035,-1.1444492,0,,working,0,0,3,3
PP03,PublicPark,PublicPark,50.705239,-1.2847594,0,,working,0,0,3,3
PP04,PublicPark,PublicPark,50.65372,-1.1620472,0,,working,0,2,3,5
SCH01,School,TertiaryCollege,50.697185,-1.2941702,2,SCH07,working,0,1,0,3
SCH02,School,SecondarySchool,50.657192,-1.1672058,2,,working,0,2,3,7
SCH03,School,SecondarySchool,50.696789,-1.3152021,2,,failed,0,2,3,7
SCH04,School,SecondarySchool,50.723737,-1.1744565,2,,working,0,0,3,5
SCH05,School,SecondarySchool,50.689867,-1.2931474,2,,working,0,2,3,7
SCH06,School,SecondarySchool,50.677794,-1.5424943,2,,working,0,0,3,5
SCH07,School,TertiaryCollege,50.694542,-1.3108882,2,SCH01,failed,0,2,0,4
SCH08,School,SecondarySchool,50.711574,-1.2825527,2,,working,0,0,3,5
SCH09,School,TertiaryCollege,50.695746,-1.3122156,2,SCH07,failed,0,2,0,4
