Asset_ID,Asset_Type,Asset_Name,lat,long,criticality_score,backup_asset_id,status,dependency_score,exposure_score
WS01,WaterSupply,WaterReservoir,50.678504,-1.1520667,3,WS02,working,0,2
SW01,Sewage,WastewaterCollectionNetwork,50.739617,-1.3283103,3,SW02,working,0,0
SW02,Sewage,WastewaterCollectionNetwork,50.685999,-1.5435612,3,SW03,working,0,0
SW03,Sewage,WastewaterCollectionNetwork,50.667008,-1.1844791,3,,working,0,2
SW04,Sewage,WastewaterCollectionNetwork,50.761405,-1.2886961,3,,working,0,0
PGS01,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.719325,-1.2020439,3,PGS02,working,3,1
PGS02,PowerGen/Substation,HighVoltageElectricitySubstationComplex,50.710424,-1.2539468,3,PGS03,working,0,0
PGS03,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.74572,-1.2854328,3,,working,3,0
PGS04,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.662086,-1.1537488,3,,working,0,2
WS02,WaterSupply,WaterDistributionComplex,50.6189124,-1.1862705,3,WS03,working,0,1
WS03,WaterSupply,WaterDistributionComplex,50.6182785,-1.189187325,3,WS04,working,0,1
WS04,WaterSupply,WaterExtractionComplex,50.65748868,-1.307015479,3,,working,0,2
WS05,WaterSupply,WaterReservoir,50.68019549,-1.198740425,3,,working,0,2
PGS05,PowerGen/Substation,BiomassPowerGenerationComplex,50.675059,-1.2532336,3,,working,0,2
TEL01,Telecomms,TelecommunicationsExchange,50.70048705,-1.298122932,3,TEL02,working,0,2
TEL02,Telecomms,TelecommunicationsExchange,50.75708469,-1.543852456,3,TEL03,working,0,0
TEL03,Telecomms,TelecommunicationsExchange,50.63113171,-1.1803599,3,TEL04,working,0,2
TEL04,Telecomms,TelecommunicationsExchange,50.59622212,-1.20184453,3,,working,0,0
TEL05,Telecomms,TelecommunicationsExchange,50.69090729,-1.090039873,3,,working,0,2
TEL06,Telecomms,TelecommunicationsExchange,50.62028548,-1.320569967,3,,working,0,2
TEL07,Telecomms,TelecommunicationsExchange,50.73050932,-1.164575976,3,,working,3,0
