Category,Item
Health,ConsultingRoom
Health,DentalPracticeOffice
Health,OccupationalTherapyRoom
Health,PharmaceuticalDispensary
Health,PhysiotherapyRoom
Health,TherapyRoom
Health,Hospital
Health,NursingHome
Health,VeterinaryHospital
Emergency Services,FireBrigadeComplex
Emergency Services,LifeboatStation
Emergency Services,TelecommunicationsComplex
Emergency Services,TelecommunicationsExchange
Energy,HighVoltageElectricitySubstationComplex
Energy,LowVoltageElectricitySubstationComplex
Energy,BiomassPowerGenerationComplex
Energy,OilFiredPowerGenerationComplex
Energy,PhotovoltaicPowerGenerationComplex
Energy,GasDistributionComplex
Energy,LiquidFuelStorageComplex
Infrastructure,Bridge
Infrastructure,Culvert
Infrastructure,LevelCrossing
Infrastructure,Tunnel
Infrastructure,Underpass
Infrastructure,Slipway
Infrastructure,HighwayRoundabout
Infrastructure,RailwayJunction
Infrastructure,Road
Infrastructure,HeavyRailComplex
Infrastructure,RailwayStation
Infrastructure,Airport
Infrastructure,FerryPort
Infrastructure,CarPark
Utility Infrastructure,Pylon
Utility Infrastructure,WaterDistributionComplex
Utility Infrastructure,WasteDisposalComplex
Utility Infrastructure,WaterExtractionComplex
Utility Infrastructure,WaterReservoir
Utility Infrastructure,MotorVehicleFuellingOrChargingStation
Utility Infrastructure,PublicToilets
Maritime Infrastructure,BoatStorage
Maritime Infrastructure,Pier
Maritime Infrastructure,Pontoon
Maritime Infrastructure,Quay
Maritime Infrastructure,Slipway
Shelters and Relief Centers,CommunityCentre
Shelters and Relief Centers,Library
Shelters and Relief Centers,Museum
Shelters and Relief Centers,VisitorCentre
Educational Facilities,FurtherEducationalCollege
Educational Facilities,PrimarySchool
Educational Facilities,SecondarySchool
Educational Facilities,PreSchool
Educational Facilities,TertiaryCollege
Public Assembly Points,PublicPark
Public Assembly Points,SportsGround
Public Assembly Points,OutdoorSportComplex
Public Assembly Points,OutdoorStadium
Public Assembly Points,OutdoorSwimmingPool
Community and Recreational Facilities,Allotment
Community and Recreational Facilities,Bandstand
Community and Recreational Facilities,BotanicalGarden
Community and Recreational Facilities,BowlingGreen
Community and Recreational Facilities,Garden
Community and Recreational Facilities,OutdoorPlayArea
Community and Recreational Facilities,Playground
Community and Recreational Facilities,PublicParkOrGarden
Community and Recreational Facilities,RecreationGround
Community and Recreational Facilities,RecreationalSpace
Community and Recreational Facilities,GolfCourse
Community and Recreational Facilities,IndoorIceRink
Community and Recreational Facilities,IndoorSportsComplex
Community and Recreational Facilities,Spa
Community and Recreational Facilities,SkateboardPark
Community and Recreational Facilities,CricketField
Community and Recreational Facilities,CycleTrack
Community and Recreational Facilities,RunningTrack
Agricultural and Natural Assets,ArableFarmLand
Agricultural and Natural Assets,Farmyard
Agricultural and Natural Assets,LivestockFarmLand
Agricultural and Natural Assets,NatureReserve
Agricultural and Natural Assets,CountryPark
Agricultural and Natural Assets,OpenGrassland
Agricultural and Natural Assets,Woodland
Agricultural and Natural Assets,Lake
Agricultural and Natural Assets,Hill
Agricultural and Natural Assets,HistoricSite
Agricultural and Natural Assets,BrownfieldSite
Industrial and Commercial,IndustrialPark
Industrial and Commercial,IndustrialSpace
Industrial and Commercial,Garage
Industrial and Commercial,DiningBuilding
Industrial and Commercial,RetailKiosk
Industrial and Commercial,Office
Industrial and Commercial,PostOfficeBuilding
Industrial and Commercial,Hotel
Wastewater,WastewaterCollectionNetwork
Wastewater,WastewaterDisposalComplex
Wastewater,WastewaterTreatmentComplex
Miscellaneous,Facility
Miscellaneous,ResidentialBuilding
Miscellaneous,Cemetery
Miscellaneous,ChangingRoom
Miscellaneous,ClubHouse
Miscellaneous,Crematorium
Miscellaneous,Fishery
Miscellaneous,FishingBuilding
Miscellaneous,Mortuary
Miscellaneous,ScienceStudio
Miscellaneous,Person
